pmid,pmc_id,title,primary_type,journal,publication_date,doi,has_fulltext,appeared_in_iterations,num_iterations
41232128,PMC12616201,Global health at a crossroads: training the next generation of global health practitioners for a post-aid era.,News,Journal of global health,2025-11-14,10.7189/jogh.15.02002,True,iteration_2_and_3_combined,1
41076807,,"Differentiating COVID-19 vaccine-related adverse events from long COVID: A comprehensive review of clinical manifestations, pathophysiology, and diagnostic approaches.",Review,Vaccine,2025-11-14,10.1016/j.vaccine.2025.127842,False,"iteration_1_disease, iteration_1_disease",2
41232125,PMC12615003,Strengthening the mpox response: how do we balance pragmatism and equity in resource-constrained settings?,Journal Article,Journal of global health,2025-11-14,10.7189/jogh.15.03036,True,iteration_2_and_3_combined,1
41232124,PMC12615002,Mapping respiratory health digital interventions in South and Southeast Asia: a scoping review.,Journal Article,Journal of global health,2025-11-14,10.7189/jogh.15.04310,True,iteration_2_and_3_combined,1
41239662,,Myocardial injury complicating diabetic ketoacidosis in type 1 diabetes mellitus with concurrent thyroid storm: Case report and literature review.,Review,Medicine,2025-11-14,10.1097/MD.0000000000045596,False,iteration_2_and_3_combined,1
41223263,PMC12609120,Small things matter: Lack of extraislet β cells in type 1 diabetes.,Journal Article,Science advances,2025-11-14,10.1126/sciadv.adz2251,True,iteration_2_and_3_combined,1
41223282,PMC12609157,Evasion of CARD8 activation during HIV-1 assembly.,Journal Article,Science advances,2025-11-14,10.1126/sciadv.adz1069,True,iteration_2_and_3_combined,1
41235544,PMC12616580,"Systematic review of barriers to and enablers of tuberculosis diagnosis, notification, and intervention for designing customised intervention package to minimise 'missing millions' in tribal communities of India.",Journal Article,Journal of global health,2025-11-14,10.7189/jogh.15.04303,True,iteration_2_and_3_combined,1
41232026,PMC12614398,"Shesha, a WhatsApp Chatbot for Linking Household Contacts to Tuberculosis Treatment or Preventive Therapy in South Africa: Design and Development.",Journal Article,JMIR formative research,2025-11-13,10.2196/71793,True,iteration_2_and_3_combined,1
41224265,,Dysphagia after COVID-19 Vaccination: A Report of Two Cases.,Journal Article,"Internal medicine (Tokyo, Japan)",2025-11-13,10.2169/internalmedicine.5450-25,False,iteration_2_and_3_combined,1
41230995,,"Oxidoreductase gene fabG contributes to fungal development, cell wall integrity, and virulence in Aspergillus fumigatus.",Journal Article,Microbiology spectrum,2025-11-13,10.1128/spectrum.02092-25,False,iteration_2_and_3_combined,1
41231113,PMC12614894,Repeated vaccination with homologous influenza hemagglutinin broadens human antibody responses to unmatched flu viruses.,Journal Article,eLife,2025-11-13,10.7554/eLife.107042,True,iteration_2_and_3_combined,1
41224266,,Geriatric Nutrition Risk Index Predicts Poor Swallowing Recovery in Acute Ischemic Stroke.,Journal Article,"Internal medicine (Tokyo, Japan)",2025-11-13,10.2169/internalmedicine.5708-25,False,iteration_2_and_3_combined,1
41224269,,Two Cases of Hepatitis B Virus-associated Membranoproliferative Glomerulonephritis with Contrasting Renal and Survival Outcomes after Antiviral Therapy.,Journal Article,"Internal medicine (Tokyo, Japan)",2025-11-13,10.2169/internalmedicine.6218-25,False,iteration_2_and_3_combined,1
41225567,PMC12613475,Package of interventions for harm reduction among women who inject drugs in Nigeria.,Journal Article,Archives of public health = Archives belges de sante publique,2025-11-13,10.1186/s13690-025-01753-7,True,iteration_2_and_3_combined,1
41231542,,LAIR1 prevents excess inflammatory tissue damage in Staphylococcus aureus skin infection and Cutaneous T-cell Lymphoma.,Journal Article,JCI insight,2025-11-13,10.1172/jci.insight.183935,False,iteration_2_and_3_combined,1
41224270,,A Case of Cerebellar-Onset Progressive Multifocal Leukoencephalopathy (PML) Associated with Hepatitis B-related Liver Cirrhosis.,Journal Article,"Internal medicine (Tokyo, Japan)",2025-11-13,10.2169/internalmedicine.6263-25,False,iteration_2_and_3_combined,1
41224271,,Postpartum Hepatitis B Exacerbation Following Discontinuation of Nucleotide Analogue Therapy: A Case Report.,Journal Article,"Internal medicine (Tokyo, Japan)",2025-11-13,10.2169/internalmedicine.6294-25,False,iteration_2_and_3_combined,1
41224277,,Asymptomatic Cytomegalovirus Pneumonia Presenting as Pulmonary Nodules.,Journal Article,"Internal medicine (Tokyo, Japan)",2025-11-13,10.2169/internalmedicine.6454-25,False,iteration_2_and_3_combined,1
41231960,,"Comparative genomics, integrated with single-cell sequencing and genetic analyses, reveal roles of transcription factor AP2-M2 in asexual replication of Babesia parasite.",Journal Article,PLoS pathogens,2025-11-13,10.1371/journal.ppat.1013699,False,iteration_2_and_3_combined,1
41231526,PMC12614116,Exploring the Implementation of Multiple Telementoring ECHO Programs From an Institutional and Organizational Perspective: Qualitative Study.,Journal Article,JMIR medical education,2025-11-13,10.2196/75844,True,iteration_2_and_3_combined,1
41232107,,Supporting Oral and Long-Acting HIV Preexposure Prophylaxis Decision-Making Among Pregnant Women (MyChoice Intervention): Protocol for 2 Pilot Randomized Controlled Trials.,Journal Article,JMIR research protocols,2025-11-13,10.2196/76442,False,iteration_2_and_3_combined,1
41233517,PMC12615747,Predictive power of parametric temperature based topological indices with applications in structure property modeling of anti tuberculosis drugs.,Journal Article,Scientific reports,2025-11-13,10.1038/s41598-025-23529-3,True,iteration_2_and_3_combined,1
41233830,PMC12613367,Significant histologic alterations in untreated chronic hepatitis B children: a meta-analysis.,Meta-Analysis,BMC infectious diseases,2025-11-13,10.1186/s12879-025-11876-5,True,iteration_2_and_3_combined,1
41233792,PMC12616934,"Unsuspected drug shortage is impacting the German HIV PrEP supply - results of a cross-sectional survey show: majority of PrEP users had to stop or switch to on-demand PrEP and higher unmet PrEP demand among women, diverse individuals, and those in rural or small-town areas.",Journal Article,BMC infectious diseases,2025-11-13,10.1186/s12879-025-12086-9,True,iteration_2_and_3_combined,1
41233786,PMC12616961,"Profiles of PCSK9, SREBP-2, and histopathology in COVID-19 and non-COVID-19 critical illness.",Journal Article,BMC infectious diseases,2025-11-13,10.1186/s12879-025-12129-1,True,iteration_2_and_3_combined,1
41233766,PMC12616996,"Correction: The combined effect of statin and vitamin C in patients with pulmonary septic shock: a single-center, double-blind clinical trial.",Published Erratum,BMC infectious diseases,2025-11-13,10.1186/s12879-025-12156-y,True,iteration_2_and_3_combined,1
41233764,PMC12613786,Application of the PECARN prediction rule for febrile infants up to 90 days of age: a multi-center study.,Journal Article,BMC pediatrics,2025-11-13,10.1186/s12887-025-06285-1,True,iteration_2_and_3_combined,1
41233746,PMC12613362,Risk of drug-induced liver injury in chronic hepatitis C and tuberculosis co- infection: a systematic review and meta- analysis.,Meta-Analysis,BMC infectious diseases,2025-11-13,10.1186/s12879-025-12005-y,True,"iteration_1_disease, iteration_2_and_3_combined",2
41233738,PMC12616912,Prevalence of potentially inappropriate medications in people living with HIV: a systematic review and meta-analysis.,Journal Article,BMC infectious diseases,2025-11-13,10.1186/s12879-025-11996-y,True,iteration_2_and_3_combined,1
41233721,PMC12613667,BIGH3 as a potential biomarker for fibrosis in metabolic dysfunction-associated steatotic liver disease: insights from mouse and human studies.,Journal Article,BMC gastroenterology,2025-11-13,10.1186/s12876-025-04275-2,True,iteration_2_and_3_combined,1
41233587,PMC12615665,Investigation of the sero-epidemiology of vaccine preventable diseases and common viral infections in French populations.,Journal Article,Communications medicine,2025-11-13,10.1038/s43856-025-01162-5,True,iteration_2_and_3_combined,1
41233519,PMC12615699,Highly Pathogenic Avian Influenza Viruses (HPAIV) Associated with Major Southern Elephant Seal Decline at South Georgia.,Journal Article,Communications biology,2025-11-13,10.1038/s42003-025-09014-7,True,iteration_2_and_3_combined,1
41233715,PMC12616977,Mortality and reproducibility of calcium measurements in patients with hypercalcemia reporting to the emergency department of a tertiary German hospital.,Journal Article,International journal of emergency medicine,2025-11-13,10.1186/s12245-025-01052-6,True,iteration_2_and_3_combined,1
41233500,PMC12615703,Identifying SUMOylation-related genes in liver fibrosis with bioinformatics and experimental models for diagnostic insights.,Journal Article,Scientific reports,2025-11-13,10.1038/s41598-025-23516-8,True,iteration_2_and_3_combined,1
41233361,PMC12615636,Rabies virus-vectored Lyme disease vaccine provides long-term protection against tick-transmitted Borrelia burgdorferi.,Journal Article,NPJ vaccines,2025-11-13,10.1038/s41541-025-01294-8,True,iteration_2_and_3_combined,1
41233303,PMC12615833,"Iron absorption and loss, and efficacy of iron supplementation with and without prebiotics in children with virally suppressed HIV: three prospective studies in South Africa.",Journal Article,Nature communications,2025-11-13,10.1038/s41467-025-64998-4,True,iteration_2_and_3_combined,1
41233305,PMC12615793,Structural Insights into De Novo Promoter Escape by Mycobacterium tuberculosis RNA Polymerase.,Journal Article,Nature communications,2025-11-13,10.1038/s41467-025-64941-7,True,iteration_2_and_3_combined,1
41233323,PMC12615778,Immune imprinting toward SARS-CoV-2 XBB: implications for vaccine strategy and variant risk assessment.,Journal Article,Signal transduction and targeted therapy,2025-11-13,10.1038/s41392-025-02484-5,True,iteration_2_and_3_combined,1
41233346,PMC12615762,A Pseudomonas aeruginosa quorum-sensing metabolite manipulates macrophage ferroptosis through a methylation pathway.,Journal Article,Nature communications,2025-11-13,10.1038/s41467-025-65142-y,True,iteration_2_and_3_combined,1
41233191,,GDF15 nanotherapy ameliorates NLRP3-associated redox imbalance and cardiac injury in sepsis.,Journal Article,Redox biology,2025-11-13,10.1016/j.redox.2025.103897,False,iteration_2_and_3_combined,1
41233369,PMC12615657,Diagnostic accuracy of interferon-gamma release assay and mucosal-associated invariant T cells in spinal tuberculosis.,Journal Article,Scientific reports,2025-11-13,10.1038/s41598-025-23408-x,True,iteration_2_and_3_combined,1
41233480,PMC12615587,"High-resolution genomic and molecular characterization of vancomycin-resistant enterococci from hospitalized patients in a tertiary care center in Riyadh, Saudi Arabia.",Journal Article,Scientific reports,2025-11-13,10.1038/s41598-025-23518-6,True,iteration_2_and_3_combined,1
41223419,,Feasibility of mHealth Strategies to Promote Use of Wrist-Worn Alcohol Biosensors Among Young Adults With HIV: Protocol for the Engage Microrandomized Trial.,Journal Article,JMIR research protocols,2025-11-12,10.2196/69966,False,iteration_2_and_3_combined,1
41224770,PMC12612108,Deep generative optimization of mRNA codon sequences for enhanced mRNA translation and therapeutic efficacy.,Journal Article,Nature communications,2025-11-12,10.1038/s41467-025-64894-x,True,iteration_2_and_3_combined,1
41225639,PMC12613757,Effect of clinical pharmacist's intervention on perioperative prophylaxis of antimicrobial drugs in AIDS patients.,Journal Article,European journal of medical research,2025-11-12,10.1186/s40001-025-03289-6,True,iteration_2_and_3_combined,1
41225677,PMC12613547,"A review on health system-based surveillance for acute flaccid paralysis: technological advancements, challenges, and outlooks.",Review,"Journal of health, population, and nutrition",2025-11-12,10.1186/s41043-025-01115-7,True,iteration_2_and_3_combined,1
41225686,PMC12613559,"CMV infection in active systemic lupus erythematosus: clinical characteristics, prognosis and treatment outcomes.",Journal Article,BMC rheumatology,2025-11-12,10.1186/s41927-025-00592-x,True,iteration_2_and_3_combined,1
41225313,PMC12613658,The effectiveness of unfractionated heparin vs. low molecular weight (Enoxaparin) in Acute Respiratory Distress Syndrom (ARDS) and metabolic dysfunction: an old drug for new indication!,Journal Article,BMC immunology,2025-11-12,10.1186/s12865-025-00773-w,True,iteration_2_and_3_combined,1
41225140,PMC12612034,Viral helicase and methyltransferase promote genotype one-hepatitis e virus internal ribosome entry site-like element activity.,Journal Article,Npj viruses,2025-11-12,10.1038/s44298-025-00159-0,True,iteration_2_and_3_combined,1
41224805,PMC12612258,"12S rRNA based phylogeny and genetic diversity of Haemaphysalis spinigera, the primary vector for Kyasanur forest disease in India.",Journal Article,Scientific reports,2025-11-12,10.1038/s41598-025-23226-1,True,iteration_2_and_3_combined,1
41222236,,Epidemiology of diarrheagenic pathogens in acute hospitals in Singapore: a retrospective multicenter study.,Journal Article,Microbiology spectrum,2025-11-12,10.1128/spectrum.02725-25,False,iteration_2_and_3_combined,1
41224718,,A Study of the Association of Cerebrospinal Fluid Neutrophil-to-Lymphocyte Ratio with Severity and Mortality in Patients with Tuberculous Meningitis.,Journal Article,Annals of Indian Academy of Neurology,2025-11-12,10.4103/aian.aian_348_25,False,iteration_2_and_3_combined,1
41222238,,Bacteria export alarmone synthetases that produce (p)ppApp and (p)ppGpp.,Journal Article,mBio,2025-11-12,10.1128/mbio.02227-25,False,iteration_2_and_3_combined,1
41224308,PMC12612752,Epidemiological impact of three major respiratory coronavirus epidemics on influenza transmission: a multicountry analysis using surveillance data and mathematical modelling.,Journal Article,BMJ open,2025-11-12,10.1136/bmjopen-2024-093519,True,iteration_2_and_3_combined,1
41222000,PMC12611266,SLC35G3 is a UDP-N-acetylglucosamine transporter for sperm glycoprotein formation and underpins male fertility in mice.,Journal Article,eLife,2025-11-12,10.7554/eLife.107494,True,iteration_2_and_3_combined,1
41222253,,Testing tongue swab samples by Cepheid Xpert MTB/RIF Ultra: comparison of two protocols applied to samples from persons with low-bacillary load TB.,Journal Article,Microbiology spectrum,2025-11-12,10.1128/spectrum.01493-25,False,iteration_2_and_3_combined,1
41222257,,Age and antibiotic use influence longitudinal dynamics of the upper respiratory microbiome in children with recurrent acute otitis media.,Journal Article,mSphere,2025-11-12,10.1128/msphere.00468-25,False,iteration_2_and_3_combined,1
41222267,,Sex-specific transcriptional regulation in lung macrophages during sub-acute Mycobacterium tuberculosis infection.,Journal Article,Microbiology spectrum,2025-11-12,10.1128/spectrum.01790-25,False,iteration_2_and_3_combined,1
41225612,PMC12613790,Influence of early enteral nutrition on mortality of adult patients with sepsis: a meta-analysis of randomized controlled trials.,Meta-Analysis,European journal of medical research,2025-11-12,10.1186/s40001-025-03340-6,True,"iteration_1_disease, iteration_1_disease, iteration_2_and_3_combined",3
41225371,PMC12613580,Hyperuricemia-induced kidney injury: a narrative review of mechanisms and therapeutic advances.,Review,BMC nephrology,2025-11-12,10.1186/s12882-025-04414-7,True,iteration_2_and_3_combined,1
41225556,PMC12613535,A randomised controlled trial comparing epinephrine and dexamethasone to placebo in the treatment of infants with bronchiolitis (BIPED study): a statistical analysis plan.,Journal Article,Trials,2025-11-12,10.1186/s13063-025-09125-w,True,iteration_2_and_3_combined,1
41225404,PMC12613619,"Knowledge, attitudes, practice and factors associated with the prevalence of modern contraceptives use among women from historically marginalized community in Rwanda: a cross-sectional study.",Journal Article,BMC public health,2025-11-12,10.1186/s12889-025-25179-6,True,iteration_2_and_3_combined,1
41225337,PMC12613392,Upregulation of metallophore-related genes of community-acquired methicillin-resistant Staphylococcus aureus enhances pathogenicity in BALB/c mice.,Journal Article,BMC genomics,2025-11-12,10.1186/s12864-025-12262-w,True,iteration_2_and_3_combined,1
41225339,PMC12613714,The safety of cabotegravir in pregnancy: a systematic review and meta-analysis.,Meta-Analysis,BMC infectious diseases,2025-11-12,10.1186/s12879-025-11817-2,True,iteration_2_and_3_combined,1
41225345,PMC12613554,Clinical performance of a dual-target SARS CoV-2 antibody assay using sera from Ghana.,Journal Article,BMC infectious diseases,2025-11-12,10.1186/s12879-025-12012-z,True,iteration_2_and_3_combined,1
41225354,PMC12613651,Chylothorax and chylous ascites in AIDS-associated Kaposi sarcoma: a case report and literature review.,Review,BMC infectious diseases,2025-11-12,10.1186/s12879-025-11948-6,True,iteration_2_and_3_combined,1
41225362,PMC12613568,Association between serum potassium and 28-day mortality in elderly patients with sepsis: a multicenter cohort study.,Journal Article,BMC geriatrics,2025-11-12,10.1186/s12877-025-06574-5,True,iteration_2_and_3_combined,1
41221629,,Development of an Over-Gap Droplet Digital PCR Assay and Evaluation of Serum HBcrAg/qAnti-HBc as Noninvasive Markers for Intrahepatic Replication-Competent HBV DNA in Chronic Hepatitis B Patients with HBsAg Loss.,Journal Article,Emerging microbes & infections,2025-11-12,10.1080/22221751.2025.2589548,False,iteration_2_and_3_combined,1
41225376,PMC12613772,Hepatitis B vaccination coverage and associated factors among adults in Somalia: a cross-sectional study.,Journal Article,BMC public health,2025-11-12,10.1186/s12889-025-25171-0,True,iteration_2_and_3_combined,1
41225388,PMC12613919,Sepsis in the emergency department: a dual challenge of early management and antimicrobial stewardship.,Journal Article,BMC infectious diseases,2025-11-12,10.1186/s12879-025-11947-7,True,iteration_2_and_3_combined,1
41225393,PMC12613673,Serum cytokine analysis in cavitary and non-cavitary pulmonary Mycobacterium avium complex disease: a cross-sectional study.,Journal Article,BMC infectious diseases,2025-11-12,10.1186/s12879-025-11976-2,True,iteration_2_and_3_combined,1
41225394,PMC12613583,Prognostic performance of ICU scoring systems in patients with HIV/AIDS: a retrospective analysis in the western Brazilian Amazon.,Journal Article,BMC infectious diseases,2025-11-12,10.1186/s12879-025-11983-3,True,iteration_2_and_3_combined,1
41225398,PMC12613590,A preliminary study on the clinical value of simultaneous amplification and testing for tuberculosis (SAT-TB) for early therapeutic monitoring in multidrug-resistant/rifampicin-resistant tuberculosis.,Journal Article,BMC infectious diseases,2025-11-12,10.1186/s12879-025-11917-z,True,iteration_2_and_3_combined,1
41225411,PMC12613331,Intramedullary nailing versus plate fixation for humeral shaft fractures in geriatric patients: a retrospective cohort study assessing functional outcomes and complication rates.,Journal Article,BMC musculoskeletal disorders,2025-11-12,10.1186/s12891-025-09271-x,True,iteration_2_and_3_combined,1
41225546,PMC12613415,Usefulness of protocol-based pharmacotherapy management by pharmacists in cancer patients: a retrospective observational study.,Journal Article,Journal of pharmaceutical health care and sciences,2025-11-12,10.1186/s40780-025-00504-8,True,iteration_2_and_3_combined,1
41225418,PMC12613430,Evaluation of Triglyceride-Glucose (TyG) index in individuals living with HIV under antiretroviral therapy (ART).,Journal Article,BMC infectious diseases,2025-11-12,10.1186/s12879-025-12011-0,True,iteration_2_and_3_combined,1
41225425,PMC12613515,Prediction models for encephalitis and in-hospital death associated with severe fever with thrombocytopenia syndrome.,Journal Article,BMC infectious diseases,2025-11-12,10.1186/s12879-025-12018-7,True,iteration_2_and_3_combined,1
41225434,PMC12613350,Temporal phylodynamics of Coxsackievirus A6 VP1 in Shenzhen (2022-2024).,Journal Article,BMC infectious diseases,2025-11-12,10.1186/s12879-025-12003-0,True,iteration_2_and_3_combined,1
41225443,PMC12613749,Exploring factors associated with primary healthcare providers' attitudes towards HIV services provision in Georgia.,Journal Article,BMC health services research,2025-11-12,10.1186/s12913-025-13639-z,True,iteration_2_and_3_combined,1
41225453,PMC12613921,De novo CHD7 variant in a CHARGE syndrome preterm infant initially diagnosed as idiopathic hypogonadotropic hypogonadism: a case report and literature review.,Review,BMC pediatrics,2025-11-12,10.1186/s12887-025-06251-x,True,iteration_2_and_3_combined,1
41225474,PMC12606938,Unmet need for contraceptives and unintended pregnancies among adolescent girls and young women aged 15 to 24 in Zambia: insights from the Yathu Yathu trial.,Journal Article,Reproductive health,2025-11-12,10.1186/s12978-025-02202-y,True,iteration_2_and_3_combined,1
41225486,PMC12613329,"Knowledge, attitudes, and practices on antibiotic use and resistance among adolescents and young people in Sierra Leone: a cross-sectional study.",Journal Article,BMC public health,2025-11-12,10.1186/s12889-025-25223-5,True,iteration_2_and_3_combined,1
41225510,PMC12613922,"A descriptive phenomenological study of school-related gender-based violence: lived experiences of symbolic violence, harassment, and systemic complicity in a mixed secondary school in Nairobi, Kenya.",Journal Article,BMC public health,2025-11-12,10.1186/s12889-025-25341-0,True,iteration_2_and_3_combined,1
41225518,PMC12613732,"Study protocol for a multicenter, multinational prospective randomized controlled trial comparing outcomes in subjects with Gram-negative bacteremia who have blood culture evaluation using Fast Antibiotic Susceptibility Testing vs. standard of care testing: the FAST trial.",Journal Article,Trials,2025-11-12,10.1186/s13063-025-09228-4,True,iteration_2_and_3_combined,1
41225524,PMC12613528,Platelet parameters as potential biomarkers for sepsis: a systematic review and meta-analysis.,Meta-Analysis,Systematic reviews,2025-11-12,10.1186/s13643-025-02979-w,True,"iteration_1_disease, iteration_1_disease, iteration_2_and_3_combined, iteration_2_and_3_combined",4
41225531,PMC12613391,"Acute respiratory distress syndrome associated with e-cigarette or vaping product use in Bogotá, Colombia: a lung injury epidemic.",Journal Article,BMC pulmonary medicine,2025-11-12,10.1186/s12890-025-03972-8,True,iteration_2_and_3_combined,1
41221672,,Antiviral treatment response to nucleos(t)ide analogues in chronic hepatitis B patients with normal alanine aminotransferase levels: a retrospective multi-center study.,Journal Article,Emerging microbes & infections,2025-11-12,10.1080/22221751.2025.2589550,False,iteration_2_and_3_combined,1
41225329,PMC12613498,Expanding the clinical spectrum of Cernunnos/XLF deficiency: a literature review of a rare cause of severe combined immunodeficiency including a novel case.,Review,BMC immunology,2025-11-12,10.1186/s12865-025-00774-9,True,iteration_2_and_3_combined,1
41220274,,Safety of live attenuated vaccines in immunocompromised individuals and pregnant women: a systematic literature review.,Review,Expert review of vaccines,2025-11-12,10.1080/14760584.2025.2589213,False,iteration_2_and_3_combined,1
41219972,PMC12606834,Technological advancements in antibody-based therapeutics for treatment of diseases.,Review,Journal of biomedical science,2025-11-12,10.1186/s12929-025-01190-2,True,iteration_2_and_3_combined,1
41225316,PMC12613641,Benefits of group sequential design and sample size re-estimation for randomised controlled trials evaluating the prevention of ventilator-associated pneumonia: a simulation study informed by real world data.,Journal Article,BMC medical research methodology,2025-11-12,10.1186/s12874-025-02681-4,True,iteration_2_and_3_combined,1
41198172,,Engineered virus-hunter vaccine overcomes HBV immune tolerance.,Journal Article,Gut,2025-11-12,10.1136/gutjnl-2025-335806,False,iteration_2_and_3_combined,1
41219556,PMC12605441,"A Multicentric Clinical Study to Evaluate Pharmacokinetics, Efficacy, and Safety of Immune Globulin Subcutaneous 20% Weekly/Biweekly Dosing in Treatment-Experienced Patients and Loading/Weekly Maintenance Dosing in Treatment-Naïve Patients with Primary Immunodeficiency.",Journal Article,Journal of clinical immunology,2025-11-12,10.1007/s10875-025-01952-5,True,iteration_2_and_3_combined,1
41232235,,Pomalidomide enhances CD8(+) T and NK cell mediated killing of HIV-infected cells.,Journal Article,EBioMedicine,2025-11-12,10.1016/j.ebiom.2025.106004,False,iteration_2_and_3_combined,1
41232430,,"Longitudinal outcomes of severe post-stroke dysphagia: high mortality, partial recovery, and persistent dependence on alternative feeding.",Journal Article,"Clinics (Sao Paulo, Brazil)",2025-11-12,10.1016/j.clinsp.2025.100825,False,iteration_2_and_3_combined,1
41232237,,Longitudinal alterations of gut microbiota associated with intrahepatic cholestasis of pregnancy: results from a large cohort study in China.,Journal Article,EBioMedicine,2025-11-12,10.1016/j.ebiom.2025.106008,False,iteration_2_and_3_combined,1
41215580,,Targeting the innate immune system in treating hepatitis B: Prospects for functional cure.,Review,Clinical and molecular hepatology,2025-11-11,10.3350/cmh.2025.0935,False,iteration_2_and_3_combined,1
41219190,PMC12606086,Persistent mirusvirus infection in the marine protist Aurantiochytrium.,Journal Article,Nature communications,2025-11-11,10.1038/s41467-025-65172-6,True,iteration_2_and_3_combined,1
41219350,PMC12606113,Using AI system to detect active tuberculosis in a high-prevalence setting on CT scans: a multi-center study.,Journal Article,Scientific reports,2025-11-11,10.1038/s41598-025-23172-y,True,iteration_2_and_3_combined,1
41219348,PMC12606102,"Effect of 1,3,4-oxadiazoles on expression of biofilm-associated bap gene in clinical isolates of multidrug-resistant Acinetobacter baumannii.",Journal Article,Scientific reports,2025-11-11,10.1038/s41598-025-23260-z,True,iteration_2_and_3_combined,1
41219335,PMC12606333,Geospatial analysis of shared risks for tuberculosis transmission in an urban cohort.,Journal Article,Scientific reports,2025-11-11,10.1038/s41598-025-23120-w,True,iteration_2_and_3_combined,1
41219307,PMC12606105,"Targeting cancer and SARS-CoV-2: phytochemical, biological and molecular dynamic investigations of Sargassum aquifolium and Galaxaura rugosa.",Journal Article,Scientific reports,2025-11-11,10.1038/s41598-025-22987-z,True,iteration_2_and_3_combined,1
41219303,PMC12606128,Tracing micro and nanoplastics toxicity in human pulmonary fibroblasts through integrated Raman and transcriptomic analyses.,Journal Article,Scientific reports,2025-11-11,10.1038/s41598-025-22947-7,True,iteration_2_and_3_combined,1
41219249,PMC12606267,"Diagnostic accuracy of stool based Xpert MTB/RIF ultra assay for diagnosis of pulmonary tuberculosis in children, Northwest Ethiopia.",Journal Article,Scientific reports,2025-11-11,10.1038/s41598-025-22111-1,True,iteration_2_and_3_combined,1
41219228,PMC12606087,A monoclonal antibody that inhibits the shedding of CD16a and CD16b and promotes antibody-dependent cellular cytotoxicity against tumors.,Journal Article,Nature communications,2025-11-11,10.1038/s41467-025-64862-5,True,iteration_2_and_3_combined,1
41219207,PMC12606137,Role of intestinal SCFAs homeostasis in the hepatoprotective effect of Clostridium butyricum in T2DM.,Journal Article,NPJ biofilms and microbiomes,2025-11-11,10.1038/s41522-025-00824-5,True,iteration_2_and_3_combined,1
41219007,,Outcomes of Patients With Schizophrenia and Bipolar Disorder Undergoing Lumbar Fusion: A Retrospective National Database Study.,Journal Article,International journal of spine surgery,2025-11-11,10.14444/8820,False,iteration_2_and_3_combined,1
